"Case ID";"Throughput time"
"505451069254600010";"29"
"505451066915300020";""
"505450051902700010";"28"
"505451067814100030";"121"
"505451066883500010";"31"
"505451066661400030";"154"
"505453003132700020";""
"505451067780600010";"64"
"505450052052500020";"61"
"505451069250400010";"20"
"505451067658600010";"140"
"505453003155300010";"168"
"505451067057000010";"49"
"505451068869200010";"34"
"505453003132500090";""
"505451069057500010";"29"
"505451067116100030";"8"
"505451068730800020";"48"
"505451067896100010";"27"
"505451068419300010";"9"
"505451066592200020";"6"
"505451067413500010";"109"
"505450051748300010";"41"
"505451067896400010";"89"
"505453003243700070";"77"
"505451066593100010";"7"
"505451068419200010";"22"
"505453003304200020";"24"
"505453003275900020";"89"
"505453003155300070";"134"
"505453003243700060";"77"
"505451068421400020";"60"
"505450052264600030";""
"505451067130700010";"8"
"505453003243800010";"65"
"505450052052500010";"61"
"505450051530100020";"51"
"505453003155300050";"168"
"505453003159400090";"41"
"505451068729900020";"64"
"505451069151100010";"1"
"505450051902800010";"28"
"505451066263700010";""
"505453003304200010";"24"
"505451067275200010";"29"
"505451065967300010";"178"
"505451067271300010";"36"
"505451068398900010";"31"
"505451068162600010";"17"
"505450052215700030";"0"
"505451067116100020";"8"
"505451069250800030";"0"
"505453003275700090";"88"
"505451069426300020";"2"
"505453003155300020";"0"
"505453003275800010";"89"
"505451069250800020";"0"
"505451068320100030";"50"
"505451067808700010";"41"
"505453003132600010";""
"505451066949500030";"4"
"505450052068800020";"40"
"505451066636900010";""
"505453003159400080";"41"
"505453003196600020";"91"
"505451067896500010";"27"
"505453003155300060";"81"
"505451068419800010";"36"
"505450052064900010";"57"
"505451067261000010";"1"
"505453003336400080";"1"
"505450051668000030";"26"
"505453003275800020";"89"
"505451066949500010";"4"
"505453003363700010";"0"
"505450051899500020";"57"
"505451067378000010";"0"
"505451066114600010";"43"
"505451068419200020";"22"
"505451068187200010";"16"
"505450051740400030";"59"
"505451068951500010";"1"
"505451069249700030";"20"
"505451066917800010";""
"505451067521400010";"66"
"505451067808700020";"41"
"505451067967400010";"72"
"505450052215700010";"0"
"505451069470200010";"0"
"505451066636900030";""
"505451068255300020";"59"
"505451068575700030";"10"
"505453003277600020";"18"
"505450052187500030";"21"
"505453003196400070";"78"
"505451067535300020";"85"
"505451067909000010";"26"
"505451069250800010";"0"
"505453003334100020";"28"
"505451066593000010";"2"
"505451066417200030";"63"
"505451066628600010";""
"505450052215700020";"0"
"505453003196400080";"78"
"505453003228500020";"76"
"505451068870000010";"34"
"505453003221200020";"70"
"505453003240700020";"86"
"505451068756600010";"29"
"505451066477200010";"50"
"505453003336500020";"1"
"505450052187500020";"21"
"505453003243800020";"65"
"505451066661400020";"116"
"505451066178200020";""
"505453003336600020";"1"
"505453003157100020";""
"505453003304400020";"16"
"505451067521500010";"66"
"505450051668000020";"26"
"505453003243900020";"85"
"505451069250400020";"20"
"505453003336500010";"1"
"505450051491700030";"58"
"505450051782100020";"23"
"505451066949500040";"4"
"505451068145300010";"58"
"505451067780600020";"64"
"505451066352300010";""
"505451066661400050";"154"
"505450051782100010";"23"
"505451068575700010";"4"
"505451068730800010";"64"
"505453003275700080";"88"
"505451069300200010";"7"
"505450052068800030";"40"
"505451067491500010";"52"
"505450051740400010";"59"
"505451068787300020";"18"
"505451068073600010";"23"
"505451067579500010";"59"
"505450051319700020";""
"505451068315800010";"42"
"505453003275900010";"89"
"505453003336400090";"1"
"505451066822900010";""
"505450051908800010";"41"
"505451068398700010";"6"
"505451068419100010";"22"
"505451068776300010";"62"
"505451066178200010";""
"505453003132700010";""
"505451066915300010";""
"505451067424800010";"101"
"505451067606200010";"85"
"505450052187500010";"21"
"505451068701700020";"65"
"505451067221200020";"87"
"505450051899500030";"57"
"505453003304100090";"38"
"505451067281800010";"68"
"505451068479100010";"31"
"505451069254400010";"5"
"505450052264600010";""
"505451067494500020";"125"
"505453003131500020";""
"505453003363600080";"0"
"505451068756900010";"29"
"505451069426300010";"2"
"505451066116100010";""
"505451069538000010";""
"505451066636900020";""
"505453003363800010";"0"
"505451066884400020";""
"505451068187100010";"21"
"505451068042000010";"16"
"505453003159500020";"34"
"505450051740400020";"59"
"505451067606200020";"85"
"505453003221100080";"78"
"505451066661400010";"154"
"505451067947000010";"93"
"505450051530100030";"51"
"505451066418100030";"8"
"505453003221300010";"91"
"505451065967300040";"182"
"505451068103500010";"41"
"505451068554300010";"75"
"505450052052500030";"61"
"505451066884400030";""
"505451068085900010";"0"
"505451067424800020";"101"
"505450051491700020";"58"
"505451069315300010";"9"
"505451067863500010";"1"
"505450051627400010";"59"
"505451068387000010";"24"
"505451066917800020";""
"505451068756600030";"29"
"505451066949500020";"4"
"505451067413300010";"87"
"505451065967300050";"182"
"505453003196500010";"68"
"505451066417200010";"63"
"505453003363800020";"0"
"505450052068800010";"40"
"505451067678700010";"138"
"505451068729900010";"64"
"505451066417200020";"0"
"505451068406000010";"22"
"505453003363700020";"0"
"505451066667300010";"57"
"505453003221300020";"91"
"505451067579500030";"59"
"505451066949500050";"4"
"505450051344800010";"5"
"505453003159700010";""
"505450051503900010";"46"
"505451068103500020";"41"
"505450052264600020";""
"505453003196600010";"91"
"505453003221100090";"78"
"505451068162500010";"17"
"505451069151200010";"1"
"505451067221200010";"87"
"505453003196500020";"68"
"505451067028500010";"49"
"505451067658600020";"6"
"505451067488400010";"46"
"505451067535300010";"85"
"505453003221200010";"70"
"505451067579500020";"59"
"505451068076300010";"23"
"505450051782100030";"23"
"505451068421400010";"69"
"505451069421100010";"12"
"505451068255300030";"59"
"505451068255300010";"59"
"505451069249700010";"20"
"505450051319700010";""
"505451069249700020";"20"
"505451068701700010";"65"
"505451068320100020";"50"
"505451066661400040";"154"
"505450051668000010";"26"
"505451067494500010";"125"
"505451067635200010";"67"
"505451069288100010";"28"
"505451065967300030";"178"
"505451067116100010";"8"
"505451066263700020";""
"505453003195000020";"182"
"505451067686400010";"63"
"505453003132500080";""
"505450051899500010";"57"
"505450051902700020";"28"
"505451068787300010";"18"
"505451069304000010";"3"
"505451068320100040";"50"
"505451068387000020";"61"
"505453003155300040";"0"
"505450051627400020";"59"
"505453003363600090";"0"
"505451068320100010";"50"
"505451068756600020";"29"
"505453003132600020";""
